unnamed: 0,species,owner,country_of_origin,farm_name,lot_number,mill,ico_number,company,region,producer,number_of_bags,bag_weight,in_country_partner,harvest_year,grading_date,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,total_cup_points,moisture,category_one_defects,quakers,color,category_two_defects,expiration,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
443,Arabica,taylor winch (t) ltd,"Tanzania, United Republic Of",mamsera,AA,rafiki (coffee) limited,033/0004,volcafe/taylorwinch tanzania ltd,moshi,Mamsera,320,60,Tanzanian Coffee Board,2016-01-01,2017-06-20,Bourbon,Washed / Wet,7.67,7.58,7.42,7.67,7.67,7.58,10.0,10.0,10.0,7.58,83.17,0.12,0,0.0,Green,3,2018-06-20,m,168.0,168.0,168.0
446,Arabica,juan luis alvarado romero,Guatemala,finca medina,11/11711/58,beneficio siembras vision (154),11/11711/58,"siembras vision, s.a.",antigua,FINCA MEDINA,250,1500,Asociacion Nacional Del Café,2016-01-01,,Caturra,Washed / Wet,7.67,7.75,7.42,7.75,7.58,7.5,10.0,10.0,10.0,7.5,83.17,0.11,2,2.0,Green,3,,m,1500.0,1500.0,1500.0
447,Arabica,cadexsa,Honduras,bethel,427,dry mill,13-63-214,cadexsa,marcala,JOSE OMAR ACOSTA,275,69,Instituto Hondureño del Café,2016-01-01,,Catuai,Washed / Wet,7.67,7.67,7.5,7.67,7.5,7.67,10.0,10.0,10.0,7.5,83.17,0.11,0,1.0,Blue-Green,1,,m,1450.0,1450.0,1450.0
450,Arabica,consejo salvadoreño del café,El Salvador,agua caliente,1,agua caliente,9-392-68,consejo salvadoreño del café,apaneca,Ecom Agroindustrial Corp. Ltd.,275,69,Salvadoran Coffee Council,2016-01-01,2016-03-29,Bourbon,Washed / Wet,7.5,7.5,7.33,7.67,8.0,7.67,10.0,10.0,10.0,7.5,83.17,0.0,0,0.0,Green,0,2017-03-29,m,1350.0,1350.0,1350.0
481,Arabica,ipanema coffees,Brazil,capoeirinha,261/15,dry mill,002/1660/0049,ipanema coffees,south of minas,Ipanema Agricola,320,60,Brazil Specialty Coffee Association,2015-01-01,2016-04-25,Yellow Bourbon,Pulped natural / honey,7.58,7.58,7.58,7.5,7.67,7.58,10.0,10.0,10.0,7.58,83.08,0.11,0,2.0,Bluish-Green,2,2017-04-25,m,905.0,905.0,905.0
497,Arabica,ipanema coffees,Brazil,fazenda capoeirnha,020/17,dry mill,002/1660/0080,ipanema coffees,south of minas,Ipanema Agricola S.A,320,60,Brazil Specialty Coffee Association,,2017-10-20,Bourbon,Natural / Dry,7.58,7.5,7.5,7.75,7.67,7.5,10.0,10.0,10.0,7.5,83.0,0.0,0,0.0,Green,4,2018-10-20,m,890.0,890.0,890.0
498,Arabica,ipanema coffees,Brazil,fazenda capoeirnha,007/16A,dry mill,002/1660/0105,ipanema coffees,south of minas,Ipanema Agricola,320,60,Brazil Specialty Coffee Association,2016-01-01,2016-08-16,Bourbon,Natural / Dry,7.5,7.58,7.58,7.67,7.58,7.5,10.0,10.0,10.0,7.58,83.0,0.11,0,3.0,Green,5,2017-08-16,m,894.0,894.0,894.0
499,Arabica,ipanema coffees,Brazil,capoeirinha,007/16F,dry mill,002/1660/0105,ipanema coffees,south of minas,Ipanema Agricola,320,60,Brazil Specialty Coffee Association,2016-01-01,2016-08-16,Bourbon,Natural / Dry,7.5,7.67,7.58,7.67,7.58,7.42,10.0,10.0,10.0,7.58,83.0,0.11,0,2.0,Bluish-Green,3,2017-08-16,m,872.0,872.0,872.0
500,Arabica,ucfa,Uganda,isule farmers group,201501,ibero,C201501,ucfa,"kasese, mt. rwenzori",Xavier Baluku,310,60,Uganda Coffee Development Authority,2015-01-01,2016-07-18,Bourbon,Washed / Wet,7.67,7.58,7.42,7.42,7.83,7.5,10.0,10.0,10.0,7.58,83.0,0.12,0,0.0,Green,6,2017-07-18,m,1473.0,1473.0,1473.0
501,Arabica,ucfa,Uganda,ibanda farmers group,201502,ibero,C201502,ucfa,"kasese, mt. rwenzori",Emmanuel Munaaba,325,60,Uganda Coffee Development Authority,2015-01-01,2016-07-18,Bourbon,Natural / Dry,7.67,7.67,7.5,7.58,7.42,7.5,10.0,10.0,10.0,7.67,83.0,0.12,0,5.0,Green,8,2017-07-18,m,1645.0,1645.0,1645.0
534,Arabica,ipanema coffees,Brazil,fazenda capoeirnha,020/17,dry mill,002/1660/0080,ipanema coffees,south of minas,Ipanema Agricola S.A,320,60,Brazil Specialty Coffee Association,,2017-10-20,Bourbon,Natural / Dry,7.67,7.58,7.5,7.58,7.58,7.5,10.0,10.0,10.0,7.5,82.92,0.0,0,0.0,Green,0,2018-10-20,m,890.0,890.0,890.0
535,Arabica,consejo salvadoreño del café,El Salvador,santa josefita,1-198,beneficio cuzcachapa,09-030-273,soc. coop. cuzcachapa de r.l.,apaneca,"Balcanes Coffee Estates, S.A. de C.V.",100,69,Salvadoran Coffee Council,2017-01-01,2017-08-28,Bourbon,Washed / Wet,7.5,7.5,7.75,7.58,7.92,7.83,10.0,10.0,9.33,7.5,82.92,0.0,0,0.0,Green,1,2018-08-28,m,1350.0,1350.0,1350.0
537,Arabica,"lin, che-hao krude 林哲豪",Taiwan,shi fang yuan 十方源,2016 Tainan Coffee Cupping Event Micro Lot 臺南市咖啡評鑑批次,shi fang yuan 十方源,Taiwan,taiwan coffee laboratory,"dongshan dist., tainan city 臺南市東山區",Wang Chao Yung 王超永,10,20,Specialty Coffee Association,2016-01-01,2016-06-28,Caturra,Natural / Dry,7.17,7.83,7.25,7.67,7.67,7.58,10.0,10.0,10.0,7.75,82.92,0.09,31,0.0,Green,0,2017-06-28,m,350.0,350.0,350.0
561,Arabica,juan luis alvarado romero,Guatemala,piamonte,11/23/0513,beneficio ixchel,11/23/0513,"unex guatemala, s.a.",san marcos,JORGE LEAL,50,69,Asociacion Nacional Del Café,2017-01-01,,Bourbon,Washed / Wet,7.5,7.58,7.33,7.67,7.58,7.58,10.0,10.0,10.0,7.58,82.83,0.11,1,1.0,Green,2,,m,1700.0,1700.0,1700.0
562,Arabica,ipanema coffees,Brazil,capoeirinha,259/15,dry mill,002/1660/0047,ipanema coffees,south of minas,Ipanema Agricola,320,60,Brazil Specialty Coffee Association,2015-01-01,2017-02-06,Yellow Bourbon,Pulped natural / honey,7.67,7.58,7.58,7.5,7.5,7.42,10.0,10.0,10.0,7.58,82.83,0.11,0,2.0,Bluish-Green,2,2018-02-06,m,905.0,905.0,905.0
563,Arabica,consejo salvadoreño del café,El Salvador,el barbaro,1,santa adelaida,09-0488-1,consejo salvadoreño del café,"el balsamo, quezaltepec","El Barbaro, S.A. de C.V.",275,69,Salvadoran Coffee Council,2016-01-01,2016-04-08,Pacas,Washed / Wet,7.33,7.67,7.67,7.83,7.33,7.67,10.0,10.0,10.0,7.33,82.83,0.0,0,0.0,Green,4,2017-04-08,m,1250.0,1250.0,1250.0
580,Arabica,juan luis alvarado romero,Guatemala,linda vista,11-973-276,linda vista,11-973-276,mercon guatemala s.a.,santa rosa,PABLO ARTURO CHUY FLORES,275,69,Asociacion Nacional Del Café,2017-01-01,2017-10-17,Caturra,Washed / Wet,7.58,7.67,7.5,7.58,7.5,7.42,10.0,10.0,10.0,7.5,82.75,0.11,0,0.0,Green,8,2018-10-17,m,1800.0,1800.0,1800.0
581,Arabica,juan luis alvarado romero,Guatemala,las merceditas,11/23/0693,beneficio ixchel,11/23/0693,"unex guatemala, s.a.",san marcos,ANGEL DE LEON,50,69,Asociacion Nacional Del Café,2017-01-01,2017-09-19,Bourbon,Washed / Wet,7.5,7.67,7.17,7.67,7.67,7.58,10.0,10.0,10.0,7.5,82.75,0.11,0,0.0,Green,4,2018-09-19,m,1700.0,1700.0,1700.0
582,Arabica,juan luis alvarado romero,Guatemala,las delicias,11/23/0632,beneficio ixchel,11/23/0632,"unex guatemala, s.a.",santa rosa,OTTO BECKER,50,69,Asociacion Nacional Del Café,2017-01-01,2017-09-08,Bourbon,Washed / Wet,7.5,7.5,7.42,7.58,7.67,7.5,10.0,10.0,10.0,7.58,82.75,0.1,0,0.0,Green,1,2018-09-08,ft,1219.2,1219.2,1219.2
583,Arabica,juan luis alvarado romero,Guatemala,la esmeralda,11/23/0690,beneficio ixchel,11/23/0690,"unex guatemala, s.a.",oriente,JESUS RAMIREZ,25,69,Asociacion Nacional Del Café,2017-01-01,,Bourbon,Washed / Wet,7.42,7.58,7.42,7.67,7.5,7.5,10.0,10.0,10.0,7.67,82.75,0.1,0,0.0,Green,1,,ft,1219.2,1219.2,1219.2
585,Arabica,juan luis alvarado romero,Guatemala,la esmeralda,11/23/0369,beneficio ixchel,11/23/0369,"unex guatemala, s.a.",el progreso,JESUS RAMIREZ,25,69,Asociacion Nacional Del Café,2017-01-01,,Bourbon,Washed / Wet,7.58,7.58,7.33,7.58,7.33,7.67,10.0,10.0,10.0,7.67,82.75,0.12,0,0.0,Green,0,,ft,157.8864,157.8864,157.8864
586,Arabica,"lin, che-hao krude 林哲豪",Taiwan,大鋤花間 (hoe vs. flower coffee farm),2017台南市精品咖啡評鑑批次 Specialty Coffee Evaluation of Tainan 2017 lot.20161220,大鋤花間 (hoe vs. flower coffee farm),Taiwan,taiwan coffee laboratory,"台南市東山區( dongshan dist., tainan city)","林俊吉( Lin, Chun-Chi)",8,10,Specialty Coffee Association,2016-01-01,,Yellow Bourbon,Natural / Dry,7.83,7.67,7.33,7.67,7.58,7.67,9.33,10.0,10.0,7.67,82.75,0.0,0,0.0,Green,0,,m,650.0,650.0,650.0
588,Arabica,"ceca, s.a.",Costa Rica,gamboa,8866-2,beneficio montañas del diamante,5-025-0109,"ceca,s.a.",tarrazu,Martin Gutierrez,250,69,Specialty Coffee Association of Costa Rica,2016-01-01,2017-04-28,Caturra,Washed / Wet,7.58,7.5,7.42,7.67,7.42,7.5,10.0,10.0,10.0,7.67,82.75,0.09,0,0.0,Bluish-Green,1,2018-04-28,m,1850.0,1850.0,1850.0
589,Arabica,bismarck castro,Honduras,los hicaques,103,cigrah s.a de c.v.,13-111-053,cigrah s.a de c.v,comayagua,Reinerio Zepeda,275,69,Instituto Hondureño del Café,2017-01-01,2017-04-06,Caturra,Natural / Dry,7.58,7.5,7.42,7.58,7.5,7.5,10.0,10.0,10.0,7.67,82.75,0.09,0,1.0,Green,6,2018-04-06,m,1400.0,1400.0,1400.0
590,Arabica,ipanema coffees,Brazil,capoeirinha,260/15,dry mill,002/1660/0048,ipanema coffees,south of minas,Ipanema Agricola,320,60,Brazil Specialty Coffee Association,2015-01-01,2016-04-25,Yellow Bourbon,Pulped natural / honey,7.5,7.5,7.58,7.5,7.58,7.58,10.0,10.0,10.0,7.5,82.75,0.11,0,2.0,Bluish-Green,1,2017-04-25,m,905.0,905.0,905.0
592,Arabica,yunnan coffee exchange,China,pu'er lingdu yunlin coffee co.ltd,YNC-16014,pu'er lingdu yunlin coffee co.ltd mill,5300343627999,yunnan coffee exchange,menglian,Pu'er Lingdu Yunlin Coffee Co.LTD,3,60,Yunnan Coffee Exchange,2015-01-01,2016-04-05,Catimor,Washed / Wet,7.5,7.67,7.42,7.67,7.5,7.5,10.0,10.0,10.0,7.5,82.75,0.11,0,0.0,Green,2,2017-04-05,m,1500.0,1500.0,1500.0
608,Arabica,ipanema coffees,Brazil,capoeirinha,019/17,dry mill,002/1660/0079,ipanema coffees,south of minas,Ipanema Agricola S.A,320,60,Brazil Specialty Coffee Association,,2017-10-20,Bourbon,Natural / Dry,7.5,7.58,7.25,7.75,7.58,7.5,10.0,10.0,10.0,7.5,82.67,0.0,0,0.0,Green,4,2018-10-20,m,890.0,890.0,890.0
609,Arabica,ipanema coffees,Brazil,capoeirinha,007/16D,dry mill,002/1660/0105,ipanema coffees,south of minas,Ipanema Agricola,320,60,Brazil Specialty Coffee Association,2016-01-01,2016-08-16,Bourbon,Natural / Dry,7.5,7.58,7.5,7.67,7.5,7.42,10.0,10.0,10.0,7.5,82.67,0.11,0,2.0,Bluish-Green,3,2017-08-16,m,934.0,934.0,934.0
611,Arabica,consejo salvadoreño del café,El Salvador,el barbaro,1,santa adelaida,09-0488-001,consejo salvadoreño del café,"el balsamo, quezaltepec","El Barbaro, S.A. de C.V.",275,69,Salvadoran Coffee Council,2016-01-01,2016-03-29,Pacas,Washed / Wet,7.67,7.67,7.67,7.67,7.5,7.67,10.0,10.0,9.33,7.5,82.67,0.0,0,0.0,Green,7,2017-03-29,m,1200.0,1200.0,1200.0
634,Arabica,juan luis alvarado romero,Guatemala,la esmeralda,11/23/0634,beneficio ixchel,11/23/0634,"unex guatemala, s.a.",oriente,JESUS RAMIREZ,25,69,Asociacion Nacional Del Café,2017-01-01,2017-09-08,Bourbon,Washed / Wet,7.5,7.42,7.42,7.75,7.5,7.5,10.0,10.0,10.0,7.5,82.58,0.1,0,1.0,Green,2,2018-09-08,ft,1219.2,1219.2,1219.2
635,Arabica,"lin, che-hao krude 林哲豪",Taiwan,林園咖啡 lin yuan coffee,2017南投咖啡評鑑 NANTOU COFFEE EVALUATION EVENT 2017,林園咖啡 lin yuan coffee,Taiwan,taiwan coffee laboratory,國姓鄉 guoshing township,林文弘 Lin Wen Hong,6,5,Specialty Coffee Association,2016-01-01,,Typica,Pulped natural / honey,7.67,7.42,7.5,7.42,7.58,7.5,10.0,10.0,10.0,7.5,82.58,0.11,0,5.0,Green,0,,m,1050.0,1050.0,1050.0
654,Arabica,ipanema coffees,Brazil,fazenda capoeirnha,020/17,dry mill,002/1660/0080,ipanema coffees,south of minas,Ipanema Agricola S.A,320,60,Brazil Specialty Coffee Association,,2017-10-20,Bourbon,Natural / Dry,7.5,7.5,7.5,7.5,7.58,7.5,10.0,10.0,10.0,7.42,82.5,0.11,0,0.0,Green,4,2018-10-20,m,890.0,890.0,890.0
656,Arabica,elsy reyes,Honduras,las cuchillas,165,cigrah s.a de c.v.,13-111-097,cigrah,comayagua,Nahun Maldonado,275,69,Instituto Hondureño del Café,2017-01-01,,Caturra,Washed / Wet,7.58,7.58,7.33,7.5,7.5,7.5,10.0,10.0,10.0,7.5,82.5,0.1,0,0.0,Green,4,,m,1400.0,1400.0,1400.0
657,Arabica,juan luis alvarado romero,Guatemala,la esperanza,11/23/0146,beneficio ixchel,11/23/0146,"unex guatemala, s.a.",oriente,MARGARITA AVILA DE NUYENS,50,69,Asociacion Nacional Del Café,2016-01-01,2016-03-16,Bourbon,Washed / Wet,7.5,7.5,7.33,7.5,7.67,7.5,10.0,10.0,10.0,7.5,82.5,0.1,0,2.0,Green,2,2017-03-16,ft,1219.2,1219.2,1219.2
676,Arabica,juan luis alvarado romero,Guatemala,piamonte,11/23/0639,beneficio ixchel,11/23/0639,"unex guatemala, s.a.",san marcos,JORGE LEAL,50,69,Asociacion Nacional Del Café,2017-01-01,2017-09-08,Bourbon,Washed / Wet,7.58,7.5,7.33,7.75,7.33,7.5,10.0,10.0,10.0,7.42,82.42,0.1,0,1.0,Green,2,2018-09-08,m,1700.0,1700.0,1700.0
677,Arabica,juan luis alvarado romero,Guatemala,las merceditas,11/23/0366,beneficio ixchel,11/23/0366,"unex guatemala, s.a.",san marcos,ANGEL DE LEON,50,69,Asociacion Nacional Del Café,2016-01-01,,Bourbon,Washed / Wet,7.67,7.58,7.25,7.67,7.42,7.33,10.0,10.0,10.0,7.5,82.42,0.12,0,0.0,Green,0,,m,1700.0,1700.0,1700.0
678,Arabica,juan luis alvarado romero,Guatemala,la esmeralda,11/23/0400,beneficio ixchel,11/23/0400,"unex guatemala, s.a.",el progreso,JESUS RAMIREZ,20,69,Asociacion Nacional Del Café,2017-01-01,,Bourbon,Washed / Wet,7.58,7.5,7.25,7.67,7.5,7.5,10.0,10.0,10.0,7.42,82.42,0.12,0,0.0,Green,0,,ft,157.8864,157.8864,157.8864
706,Arabica,bismarck castro,Honduras,los hicaques,63,cigrah s.a de c.v.,13-111-022,cigrah s.a de c.v,comayagua,Reinerio Zepeda,275,69,Instituto Hondureño del Café,2017-01-01,2017-04-06,Caturra,Washed / Wet,7.5,7.58,7.33,7.5,7.42,7.42,10.0,10.0,10.0,7.58,82.33,0.1,0,1.0,Green,8,2018-04-06,m,1396.0,1396.0,1396.0
709,Arabica,ipanema coffees,Brazil,capoeirinha,008/16B,dry mill,002/1660/0106,ipanema coffees,south of minas,Ipanema Agricola,320,60,Brazil Specialty Coffee Association,2016-01-01,2016-08-16,Bourbon,Natural / Dry,7.5,7.5,7.42,7.5,7.42,7.5,10.0,10.0,10.0,7.5,82.33,0.11,0,2.0,Bluish-Green,3,2017-08-16,m,934.0,934.0,934.0
710,Arabica,"ceca, s.a.",Costa Rica,gamboa,8270,beneficio montañas del diamante,5-025-0294,"ceca,s.a.",tarrazu,Martin Gutierrez,100,69,Specialty Coffee Association of Costa Rica,2015-01-01,2016-07-15,Caturra,Washed / Wet,7.75,7.5,7.25,7.25,7.42,7.67,10.0,10.0,10.0,7.5,82.33,0.1,6,1.0,Bluish-Green,3,2017-07-15,m,1850.0,1850.0,1850.0
711,Arabica,rodrigo soto,Costa Rica,rio jorco,Tarrazu,rio jorco,5/423/0127,panamerican coffee trading,tarrazu,Johanna,130,69,Specialty Coffee Association of Costa Rica,2015-01-01,2016-05-17,Catuai,Washed / Wet,7.75,7.33,7.5,7.5,7.33,7.58,10.0,10.0,10.0,7.33,82.33,0.0,0,2.0,Green,0,2017-05-17,m,1550.0,1550.0,1550.0
737,Arabica,juan luis alvarado romero,Guatemala,linda vista,11/973/158,beneficio humedo,11/973/158,mercon guatemala s.a.,nuevo oriente,PABLO CHUY,275,69,Asociacion Nacional Del Café,2016-01-01,,Pacas,Washed / Wet,7.67,7.5,7.25,7.67,7.42,7.42,10.0,10.0,10.0,7.33,82.25,0.11,0,2.0,Green,2,,m,1450.0,1450.0,1450.0
757,Arabica,ipanema coffees,Brazil,fazenda capoeirnha,007/16C,dry mill,002/1660/0105,ipanema coffees,south of minas,Ipanema Agricola,320,60,Brazil Specialty Coffee Association,2016-01-01,2016-08-16,Bourbon,Natural / Dry,7.42,7.42,7.5,7.42,7.42,7.5,10.0,10.0,10.0,7.5,82.17,0.11,0,1.0,Green,5,2017-08-16,m,934.0,934.0,934.0
758,Arabica,bismarck castro,Honduras,las cuchillas,118,dry mill,13-111-054,cigrah s.a de c.v,comayagua,Nahun Maldonado,200,69,Instituto Hondureño del Café,2015-01-01,2016-06-09,Caturra,Washed / Wet,7.5,7.5,7.17,7.42,7.5,7.5,10.0,10.0,10.0,7.58,82.17,0.11,0,1.0,Bluish-Green,2,2017-06-09,m,1500.0,1500.0,1500.0
